,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
2179,"(1, 2)",1,2,484.4859262,152,5,0.11273627,-0.129712085,0.9437022,777.1321411,270.5220642,707.9671631,129.4480896,777.4694699,269.978453,704.4677663,131.9869467
2180,"(1, 2)",1,2,484.4859262,152,7,0.102017909,-0.094134795,1.006729062,753.9023438,331.2598877,682.7786865,153.899292,754.1004292,330.8763438,680.4373623,155.511004
2181,"(1, 2)",1,2,484.4859262,152,8,0.072666138,-0.125906088,0.972428234,729.8395996,288.2326965,682.4782715,131.7089081,730.160343,287.843577,679.8989462,133.8807246
2182,"(1, 2)",1,2,484.4859262,152,10,0.063512797,-0.093679536,1.043070863,708.3579102,346.9619446,656.1879272,156.4958038,708.5228442,346.7105914,654.6350448,157.7752451
2183,"(1, 2)",1,2,484.4859262,152,11,0.032467969,-0.122704446,1.005229769,683.7958984,305.4961853,654.3399658,136.5777588,684.0356751,305.2483937,652.6299006,138.3009763
2184,"(0, 1)",0,1,484.6595872,153,1,0.179063468,-0.086698261,0.916145463,621.4901123,255.5814667,859.392334,297.3937988,620.8389177,255.6090762,859.4272303,296.643568
2185,"(0, 1)",0,1,484.6595872,153,2,0.15227597,-0.120698931,0.88959163,609.6430664,234.8117828,835.0122681,252.3342896,609.1422659,234.9153926,835.2688361,251.600731
2186,"(0, 1)",0,1,484.6595872,153,4,0.14208482,-0.087871645,0.954206752,597.6227417,257.0105286,808.6021118,314.4265747,597.3468103,256.9938092,808.7418972,313.8631286
2187,"(0, 1)",0,1,484.6595872,153,5,0.111576486,-0.118189917,0.919258994,584.1608887,238.6306,783.7410889,269.6773987,583.9800482,238.6309351,784.0700674,269.1157519
2188,"(0, 2)",0,2,484.6578126,153,1,0.182202893,-0.086010192,0.927461256,621.4901123,255.5814667,745.6514893,150.7836151,620.8389177,255.6090762,740.8177672,153.136448
2189,"(0, 2)",0,2,484.6578126,153,2,0.155947024,-0.118613174,0.897767,609.6430664,234.8117828,746.5714111,129.2110901,609.1422659,234.9153926,741.478187,132.1960673
2190,"(0, 2)",0,2,484.6578126,153,4,0.145188951,-0.08656116,0.965974549,597.6227417,257.0105286,716.4390869,153.2763977,597.3468103,256.9938092,712.8772705,155.2641873
2191,"(0, 2)",0,2,484.6578126,153,5,0.11537235,-0.118167333,0.93319313,584.1608887,238.6306,715.6431885,131.2681122,583.9800482,238.6309351,711.8694777,133.8449307
2192,"(1, 2)",1,2,484.6601026,153,1,0.179294095,-0.086792689,0.918550885,859.392334,297.3937988,745.6514893,150.7836151,859.4272303,296.643568,740.8177672,153.136448
2193,"(1, 2)",1,2,484.6601026,153,2,0.149003487,-0.116464966,0.884409428,835.0122681,252.3342896,746.5714111,129.2110901,835.2688361,251.600731,741.478187,132.1960673
2194,"(1, 2)",1,2,484.6601026,153,4,0.14116056,-0.086634924,0.954293746,808.6021118,314.4265747,716.4390869,153.2763977,808.7418972,313.8631286,712.8772705,155.2641873
2195,"(1, 2)",1,2,484.6601026,153,5,0.111784817,-0.119027668,0.922673184,783.7410889,269.6773987,715.6431885,131.2681122,784.0700674,269.1157519,711.8694777,133.8449307
2196,"(1, 2)",1,2,484.6601026,153,6,0.134053457,-0.057520615,1.026612813,783.9692993,372.5126953,690.3842773,173.3321381,783.973523,372.0262124,687.985607,174.5972839
2197,"(1, 2)",1,2,484.6601026,153,7,0.102651243,-0.086047298,0.988270426,760.3532715,330.4652405,689.322876,155.2420959,760.5465795,330.0624029,686.7807993,156.8922953
2198,"(1, 2)",1,2,484.6601026,153,8,0.074340399,-0.118061443,0.956270419,736.5031738,287.3993225,688.5873413,133.4007263,736.8270506,286.9925834,685.8265511,135.5980891
2199,"(1, 2)",1,2,484.6601026,153,9,0.096735358,-0.058919805,1.066793205,737.8171387,386.986084,663.5725098,175.145874,737.8592768,386.6389485,662.0012504,176.1322852
2200,"(1, 2)",1,2,484.6601026,153,10,0.065658963,-0.087622536,1.026904084,714.3182983,346.1447449,663.0270996,156.1846924,714.4873184,345.8781212,661.2925842,157.5391289
2201,"(1, 2)",1,2,484.6601026,153,11,0.035962118,-0.11810783,0.991933251,690.2684326,303.7837219,660.4919434,136.4618988,690.5204183,303.5186279,658.6188183,138.255221
2202,"(0, 1)",0,1,484.8335412,154,1,0.185842158,-0.087508787,0.914562786,627.9094238,256.3321228,865.9370728,295.5796204,627.1255916,256.3666468,865.9615414,294.8031222
2203,"(0, 1)",0,1,484.8335412,154,2,0.159405245,-0.120811718,0.88535727,616.4562988,235.6020813,843.1326904,249.6974182,615.8422955,235.7284019,843.3778519,248.9340067
2204,"(0, 1)",0,1,484.8335412,154,5,0.119964495,-0.119717484,0.917958163,589.817749,238.1553192,792.163208,267.602356,589.5836389,238.1737445,792.481852,267.0152286
2205,"(0, 2)",0,2,484.832506,154,2,0.167639064,-0.118357297,0.898583087,616.4562988,235.6020813,751.1668091,129.5319214,615.8422955,235.7284019,745.8720248,132.5554227
2206,"(0, 2)",0,2,484.832506,154,5,0.125527243,-0.118983567,0.932322637,589.817749,238.1553192,720.3311768,131.1904602,589.5836389,238.1737445,716.370421,133.8240667
