sync_index,port,frame_index,frame_time,point_id,img_loc_x,img_loc_y,board_loc_x,board_loc_y
76,2,76,31354.668204100002,0,191.79849243164062,217.5562744140625,0.05400000140070915,0.05400000140070915
76,2,76,31354.668204100002,1,186.82044982910156,188.04307556152344,0.1080000028014183,0.05400000140070915
76,2,76,31354.668204100002,2,182.44187927246094,157.3673095703125,0.16200000047683716,0.05400000140070915
76,2,76,31354.668204100002,3,219.54957580566406,219.74215698242188,0.05400000140070915,0.1080000028014183
76,2,76,31354.668204100002,4,218.32872009277344,191.27830505371094,0.1080000028014183,0.1080000028014183
76,2,76,31354.668204100002,5,214.3118133544922,160.08949279785156,0.16200000047683716,0.1080000028014183
76,2,76,31354.668204100002,6,250.54611206054688,222.09246826171875,0.05400000140070915,0.16200000047683716
76,2,76,31354.668204100002,7,246.47518920898438,194.22264099121094,0.1080000028014183,0.16200000047683716
76,2,76,31354.668204100002,8,245.3298797607422,161.57846069335938,0.16200000047683716,0.16200000047683716
76,2,76,31354.668204100002,9,279.26287841796875,224.18228149414062,0.05400000140070915,0.2160000056028366
76,2,76,31354.668204100002,10,279.3436584472656,195.41249084472656,0.1080000028014183,0.2160000056028366
76,2,76,31354.668204100002,11,276.72998046875,164.22328186035156,0.16200000047683716,0.2160000056028366
76,3,76,31354.669526949998,0,224.36294555664062,136.6800537109375,0.05400000140070915,0.05400000140070915
76,3,76,31354.669526949998,1,229.213134765625,105.83302307128906,0.1080000028014183,0.05400000140070915
76,3,76,31354.669526949998,3,251.56793212890625,141.74407958984375,0.05400000140070915,0.1080000028014183
76,3,76,31354.669526949998,4,259.9181823730469,115.53184509277344,0.1080000028014183,0.1080000028014183
76,3,76,31354.669526949998,6,279.4984130859375,147.13499450683594,0.05400000140070915,0.16200000047683716
76,3,76,31354.669526949998,7,281.9913635253906,120.93280029296875,0.1080000028014183,0.16200000047683716
76,3,76,31354.669526949998,9,303.5198059082031,152.0602569580078,0.05400000140070915,0.2160000056028366
76,3,76,31354.669526949998,10,313.3626403808594,127.65946197509766,0.1080000028014183,0.2160000056028366
76,3,76,31354.669526949998,11,324.0531005859375,93.27245330810547,0.16200000047683716,0.2160000056028366
76,0,76,31354.6671936,0,242.381591796875,260.0216064453125,0.05400000140070915,0.05400000140070915
76,0,76,31354.6671936,1,240.60861206054688,225.11924743652344,0.1080000028014183,0.05400000140070915
76,0,76,31354.6671936,2,237.9431610107422,191.03054809570312,0.16200000047683716,0.05400000140070915
76,0,76,31354.6671936,3,274.68798828125,261.8233642578125,0.05400000140070915,0.1080000028014183
76,0,76,31354.6671936,4,275.4862976074219,228.4780731201172,0.1080000028014183,0.1080000028014183
76,0,76,31354.6671936,5,274.7310485839844,192.77069091796875,0.16200000047683716,0.1080000028014183
76,0,76,31354.6671936,6,309.8150939941406,263.2925720214844,0.05400000140070915,0.16200000047683716
76,0,76,31354.6671936,7,310.6537780761719,229.55126953125,0.1080000028014183,0.16200000047683716
76,0,76,31354.6671936,8,310.5301513671875,194.49085998535156,0.16200000047683716,0.16200000047683716
76,0,76,31354.6671936,9,345.4305419921875,264.86474609375,0.05400000140070915,0.2160000056028366
76,0,76,31354.6671936,10,346.9792785644531,232.35501098632812,0.1080000028014183,0.2160000056028366
76,0,76,31354.6671936,11,348.2127685546875,195.7879638671875,0.16200000047683716,0.2160000056028366
76,1,76,31354.6697667,0,316.09881591796875,250.5651092529297,0.05400000140070915,0.05400000140070915
76,1,76,31354.6697667,1,309.2006530761719,205.2399139404297,0.1080000028014183,0.05400000140070915
76,1,76,31354.6697667,2,302.1432189941406,160.74864196777344,0.16200000047683716,0.05400000140070915
76,1,76,31354.6697667,3,359.3089294433594,241.42149353027344,0.05400000140070915,0.1080000028014183
76,1,76,31354.6697667,4,351.59014892578125,195.39096069335938,0.1080000028014183,0.1080000028014183
76,1,76,31354.6697667,5,344.33538818359375,150.16677856445312,0.16200000047683716,0.1080000028014183
76,1,76,31354.6697667,6,403.78857421875,232.1858367919922,0.05400000140070915,0.16200000047683716
76,1,76,31354.6697667,7,395.91455078125,185.4393310546875,0.1080000028014183,0.16200000047683716
76,1,76,31354.6697667,8,388.36444091796875,139.2830047607422,0.16200000047683716,0.16200000047683716
76,1,76,31354.6697667,9,450.7070007324219,222.95208740234375,0.05400000140070915,0.2160000056028366
76,1,76,31354.6697667,10,442.1689453125,173.79005432128906,0.1080000028014183,0.2160000056028366
76,1,76,31354.6697667,11,433.7761535644531,127.30789184570312,0.16200000047683716,0.2160000056028366
76,4,75,31354.66823965,0,369.9380187988281,77.84275817871094,0.05400000140070915,0.05400000140070915
76,4,75,31354.66823965,1,371.739501953125,39.81330490112305,0.1080000028014183,0.05400000140070915
76,4,75,31354.66823965,3,407.4768371582031,81.57652282714844,0.05400000140070915,0.1080000028014183
76,4,75,31354.66823965,4,411.90216064453125,44.219783782958984,0.1080000028014183,0.1080000028014183
76,4,75,31354.66823965,6,447.7179260253906,82.3134536743164,0.05400000140070915,0.16200000047683716
76,4,75,31354.66823965,9,485.1459655761719,87.41619873046875,0.05400000140070915,0.2160000056028366
77,2,77,31354.83845575,0,193.7707977294922,218.4259490966797,0.05400000140070915,0.05400000140070915
77,2,77,31354.83845575,1,188.65858459472656,188.77906799316406,0.1080000028014183,0.05400000140070915
77,2,77,31354.83845575,2,184.51966857910156,158.33572387695312,0.16200000047683716,0.05400000140070915
77,2,77,31354.83845575,3,221.5299835205078,220.43927001953125,0.05400000140070915,0.1080000028014183
