,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
601,"(0, 1)",0,1,465.9886853,45,8,-0.16782132038833597,-0.09497908204104782,0.8919255626390089,424.9063720703125,249.2777557373047,494.35198974609375,274.4933776855469,425.55112691618103,249.34779056955347,494.35209906417026,274.39448148922384
602,"(0, 1)",0,1,465.9886853,45,10,-0.22067437710664983,-0.04761989847092753,0.9136748152389434,396.5159912109375,277.1436462402344,435.88629150390625,330.89532470703125,397.8404440867678,277.04461432315964,435.89349456643447,330.86551014736415
603,"(0, 2)",0,2,465.98962697499996,45,2,-0.06436060435218481,-0.0914259670910247,0.8924338522429341,484.1627197265625,250.8751983642578,642.447998046875,132.45556640625,484.1955960812789,250.81709671079227,640.9837599590813,134.15880066721797
604,"(0, 2)",0,2,465.98962697499996,45,3,-0.116662116490677,-0.002230788357396532,0.9446605014584872,458.2293701171875,302.7566223144531,601.0554809570312,185.1101531982422,458.430215932631,302.6652825018975,600.6934128437765,185.50462182875032
605,"(0, 2)",0,2,465.98962697499996,45,4,-0.11877844410257511,-0.046011105489237904,0.9183091024942341,455.11151123046875,278.28948974609375,607.7052612304688,158.38015747070312,455.2999578373724,278.24044606376737,607.1029272725523,159.20782830047816
606,"(0, 2)",0,2,465.98962697499996,45,5,-0.11724482344011622,-0.09311891732176614,0.8904255647129988,453.50146484375,249.61509704589844,617.2586669921875,128.6490478515625,453.72893034990807,249.61277964417778,616.2737762097437,130.21022629463164
607,"(0, 2)",0,2,465.98962697499996,45,7,-0.17005003927273094,-0.04976979083923343,0.9206744590512825,426.599365234375,276.87420654296875,581.63818359375,153.77877807617188,427.1857473819605,276.80984601762316,581.3106346922671,154.5367889641908
608,"(0, 2)",0,2,465.98962697499996,45,8,-0.1671178840869435,-0.09453662544752152,0.8937287052453872,424.9063720703125,249.2777557373047,590.9967041015625,125.25151824951172,425.55112691618103,249.34779056955347,590.4023840746188,126.70409483997176
609,"(0, 2)",0,2,465.98962697499996,45,10,-0.22224380271392738,-0.04875935622747348,0.9184459884240118,396.5159912109375,277.1436462402344,555.4952392578125,152.03570556640625,397.8404440867678,277.04461432315964,555.3781596452251,152.73590863761365
610,"(0, 2)",0,2,465.98962697499996,45,11,-0.22114439296938335,-0.09502381395003798,0.8932005094952626,393.3033447265625,249.50030517578125,562.6427612304688,121.1431655883789,394.7451743547688,249.65588679076671,562.3811296466815,122.57256534569427
611,"(1, 2)",1,2,465.98908137499996,45,2,-0.06534979062909202,-0.09211196086980704,0.8886963681612345,607.4407348632812,276.2889404296875,642.447998046875,132.45556640625,607.5989200619745,276.1033072857905,640.9837599590813,134.15880066721797
