,sync_index,port_A,port_B,time_A,time_B,point_id,loc_board_x,loc_board_y,loc_img_x_A,loc_img_y_A,loc_img_x_B,loc_img_y_B
0,22,0,2,462.0103949,462.01021185,2,0.1574999988079071,0.05249999836087227,641.8009643554688,424.7840576171875,786.152099609375,290.91351318359375
1,22,0,2,462.0103949,462.01021185,5,0.1574999988079071,0.10499999672174454,608.594482421875,423.9498596191406,760.4681396484375,291.634765625
2,22,0,2,462.0103949,462.01021185,8,0.1574999988079071,0.1574999988079071,575.31396484375,423.40704345703125,732.9964599609375,291.7491149902344
3,22,0,2,462.0103949,462.01021185,9,0.05249999836087227,0.20999999344348907,545.8541259765625,466.5345458984375,689.1177368164062,337.5392150878906
4,22,0,2,462.0103949,462.01021185,10,0.10499999672174454,0.20999999344348907,544.039794921875,445.6543884277344,696.5436401367188,315.3189697265625
5,22,0,2,462.0103949,462.01021185,11,0.1574999988079071,0.20999999344348907,542.7111206054688,423.1424560546875,706.8160400390625,291.6884765625
6,23,0,2,462.18371995,462.1816508,2,0.1574999988079071,0.05249999836087227,640.3638916015625,405.7979736328125,781.5640869140625,282.7464294433594
7,23,0,2,462.18371995,462.1816508,4,0.10499999672174454,0.10499999672174454,608.4959716796875,431.5245361328125,747.957763671875,307.3743591308594
8,23,0,2,462.18371995,462.1816508,5,0.1574999988079071,0.10499999672174454,607.4908447265625,406.00677490234375,755.6928100585938,283.2419738769531
9,23,0,2,462.18371995,462.1816508,6,0.05249999836087227,0.1574999988079071,578.3619384765625,456.2882995605469,714.4501953125,331.4764709472656
10,23,0,2,462.18371995,462.1816508,7,0.10499999672174454,0.1574999988079071,576.68359375,431.6116943359375,721.5033569335938,308.1522521972656
11,23,0,2,462.18371995,462.1816508,8,0.1574999988079071,0.1574999988079071,575.0654296875,406.6154479980469,729.3770141601562,283.64892578125
12,23,0,2,462.18371995,462.1816508,9,0.05249999836087227,0.20999999344348907,548.5067749023438,456.4404602050781,688.2532958984375,332.6390686035156
13,23,0,2,462.18371995,462.1816508,10,0.10499999672174454,0.20999999344348907,545.74365234375,432.1494445800781,695.6456298828125,308.6744079589844
14,23,0,2,462.18371995,462.1816508,11,0.1574999988079071,0.20999999344348907,543.4144897460938,407.03778076171875,702.6288452148438,284.34588623046875
15,24,0,1,462.35676575,462.3605456,2,0.1574999988079071,0.05249999836087227,642.07470703125,394.601806640625,963.06298828125,503.2791748046875
16,24,0,1,462.35676575,462.3605456,5,0.1574999988079071,0.10499999672174454,609.1668090820312,395.413330078125,897.7339477539062,510.0695495605469
17,24,0,2,462.35676575,462.35784165,0,0.05249999836087227,0.05249999836087227,643.618896484375,446.67584228515625,765.255859375,317.5904235839844
18,24,0,2,462.35676575,462.35784165,1,0.10499999672174454,0.05249999836087227,643.6123657226562,421.6467590332031,772.46240234375,293.2914123535156
19,24,0,2,462.35676575,462.35784165,2,0.1574999988079071,0.05249999836087227,642.07470703125,394.601806640625,779.7766723632812,268.3623046875
20,24,0,2,462.35676575,462.35784165,5,0.1574999988079071,0.10499999672174454,609.1668090820312,395.413330078125,754.600830078125,269.5675048828125
21,24,0,2,462.35676575,462.35784165,8,0.1574999988079071,0.1574999988079071,577.3526611328125,396.2639465332031,728.2496337890625,270.5362854003906
22,24,0,2,462.35676575,462.35784165,9,0.05249999836087227,0.20999999344348907,550.8296508789062,448.4563293457031,690.233642578125,321.6370849609375
23,24,0,2,462.35676575,462.35784165,10,0.10499999672174454,0.20999999344348907,548.37841796875,423.3919677734375,696.0494384765625,297.2649230957031
24,24,0,2,462.35676575,462.35784165,11,0.1574999988079071,0.20999999344348907,545.2498168945312,397.40643310546875,701.439697265625,271.61199951171875
25,24,1,2,462.3605456,462.35784165,2,0.1574999988079071,0.05249999836087227,963.06298828125,503.2791748046875,779.7766723632812,268.3623046875
26,24,1,2,462.3605456,462.35784165,5,0.1574999988079071,0.10499999672174454,897.7339477539062,510.0695495605469,754.600830078125,269.5675048828125
27,25,0,1,462.5314311,462.532649,2,0.1574999988079071,0.05249999836087227,644.1419677734375,386.2301940917969,964.8609619140625,481.619140625
28,25,0,1,462.5314311,462.532649,5,0.1574999988079071,0.10499999672174454,611.6153564453125,387.2833557128906,899.81982421875,487.34173583984375
29,25,0,1,462.5314311,462.532649,8,0.1574999988079071,0.1574999988079071,579.3687744140625,387.5917663574219,834.4429321289062,493.3027038574219
30,25,0,1,462.5314311,462.532649,11,0.1574999988079071,0.20999999344348907,547.7720947265625,388.88885498046875,769.0875854492188,498.1497497558594
31,25,0,2,462.5314311,462.53044845,2,0.1574999988079071,0.05249999836087227,644.1419677734375,386.2301940917969,781.46484375,259.9410400390625
32,25,0,2,462.5314311,462.53044845,4,0.10499999672174454,0.10499999672174454,613.3280029296875,413.3609619140625,749.5432739257812,286.6067199707031
33,25,0,2,462.5314311,462.53044845,5,0.1574999988079071,0.10499999672174454,611.6153564453125,387.2833557128906,756.817138671875,261.2601318359375
34,25,0,2,462.5314311,462.53044845,6,0.05249999836087227,0.1574999988079071,583.2191162109375,440.3808898925781,718.3518676757812,312.44342041015625
