sync_index,port,frame_index,frame_time,point_id,img_loc_x,img_loc_y,board_loc_x,board_loc_y
11,3,11,103654.50180605,0,1095.214111328125,682.1575927734375,0.05400000140070915,0.05400000140070915
11,3,11,103654.50180605,1,1113.617919921875,669.8157348632812,0.1080000028014183,0.05400000140070915
11,3,11,103654.50180605,5,1189.6339111328125,676.241455078125,0.16200000047683716,0.1080000028014183
14,3,14,103655.00268785,0,1095.2896728515625,682.292724609375,0.05400000140070915,0.05400000140070915
14,3,14,103655.00268785,1,1113.5643310546875,669.7166748046875,0.1080000028014183,0.05400000140070915
14,3,14,103655.00268785,5,1188.83642578125,676.27783203125,0.16200000047683716,0.1080000028014183
16,3,16,103655.2675977,0,1095.142578125,682.3632202148438,0.05400000140070915,0.05400000140070915
16,3,16,103655.2675977,1,1113.8599853515625,670.0537109375,0.1080000028014183,0.05400000140070915
16,3,16,103655.2675977,2,1136.6470947265625,658.96044921875,0.16200000047683716,0.05400000140070915
17,3,17,103655.30184055,0,1095.1087646484375,681.8491821289062,0.05400000140070915,0.05400000140070915
17,3,17,103655.30184055,1,1113.6968994140625,669.7738647460938,0.1080000028014183,0.05400000140070915
17,3,17,103655.30184055,5,1189.682861328125,676.2598876953125,0.16200000047683716,0.1080000028014183
19,3,18,103655.334855,0,1095.1810302734375,682.3001098632812,0.05400000140070915,0.05400000140070915
19,3,18,103655.334855,1,1113.6021728515625,669.786376953125,0.1080000028014183,0.05400000140070915
28,3,24,103655.7023881,0,1095.0386962890625,682.1524047851562,0.05400000140070915,0.05400000140070915
28,3,24,103655.7023881,1,1113.7724609375,669.7533569335938,0.1080000028014183,0.05400000140070915
28,3,24,103655.7023881,5,1190.143310546875,676.1333618164062,0.16200000047683716,0.1080000028014183
31,3,26,103655.8047411,0,1095.0941162109375,682.337646484375,0.05400000140070915,0.05400000140070915
31,3,26,103655.8047411,1,1113.664306640625,669.6650390625,0.1080000028014183,0.05400000140070915
31,3,26,103655.8047411,5,1188.9266357421875,676.0692749023438,0.16200000047683716,0.1080000028014183
39,3,31,103656.42915255,0,1095.3028564453125,682.3035278320312,0.05400000140070915,0.05400000140070915
39,3,31,103656.42915255,1,1113.713623046875,669.716796875,0.1080000028014183,0.05400000140070915
39,3,31,103656.42915255,5,1189.42724609375,676.3151245117188,0.16200000047683716,0.1080000028014183
40,3,32,103656.468892,0,1094.859619140625,681.8482666015625,0.05400000140070915,0.05400000140070915
40,3,32,103656.468892,1,1114.7313232421875,669.7327880859375,0.1080000028014183,0.05400000140070915
40,3,32,103656.468892,5,1189.780029296875,676.2705078125,0.16200000047683716,0.1080000028014183
41,3,33,103656.55222375,0,1094.926513671875,682.0829467773438,0.05400000140070915,0.05400000140070915
41,3,33,103656.55222375,1,1114.353515625,670.1107788085938,0.1080000028014183,0.05400000140070915
41,3,33,103656.55222375,2,1136.4788818359375,658.644287109375,0.16200000047683716,0.05400000140070915
43,3,35,103656.73892285,0,1095.297119140625,682.187744140625,0.05400000140070915,0.05400000140070915
43,3,35,103656.73892285,1,1113.686279296875,669.65576171875,0.1080000028014183,0.05400000140070915
43,3,35,103656.73892285,5,1190.2342529296875,675.9127197265625,0.16200000047683716,0.1080000028014183
45,3,36,103656.80892499999,0,1095.208984375,682.07373046875,0.05400000140070915,0.05400000140070915
45,3,36,103656.80892499999,1,1113.9525146484375,669.6571655273438,0.1080000028014183,0.05400000140070915
45,3,36,103656.80892499999,5,1189.6903076171875,676.149658203125,0.16200000047683716,0.1080000028014183
47,3,38,103656.9346296,1,1114.4913330078125,669.727783203125,0.1080000028014183,0.05400000140070915
47,3,38,103656.9346296,5,1189.8714599609375,676.2196655273438,0.16200000047683716,0.1080000028014183
54,3,41,103657.1758109,0,1095.245849609375,681.889892578125,0.05400000140070915,0.05400000140070915
54,3,41,103657.1758109,1,1113.8662109375,669.8092041015625,0.1080000028014183,0.05400000140070915
54,3,41,103657.1758109,5,1189.632080078125,676.2269287109375,0.16200000047683716,0.1080000028014183
58,3,43,103657.3514327,0,1094.6893310546875,681.6585693359375,0.05400000140070915,0.05400000140070915
58,3,43,103657.3514327,1,1113.602294921875,669.7645874023438,0.1080000028014183,0.05400000140070915
58,3,43,103657.3514327,5,1188.4737548828125,676.2789306640625,0.16200000047683716,0.1080000028014183
60,3,45,103657.50169194999,0,1095.2452392578125,681.6572265625,0.05400000140070915,0.05400000140070915
60,3,45,103657.50169194999,1,1114.2978515625,669.72509765625,0.1080000028014183,0.05400000140070915
