,sync_index,port_A,port_B,time_A,time_B,point_id,loc_board_x,loc_board_y,loc_img_x_A,loc_img_y_A,loc_img_x_B,loc_img_y_B
192,23,0,2,152736.5017,152736.5027,1,0.10499999672174454,0.05249999836087227,889.9161376953125,471.2658386230469,763.5847778320312,688.4439086914062
193,23,0,2,152736.5017,152736.5027,2,0.1574999988079071,0.05249999836087227,893.522216796875,513.3163452148438,767.1900024414062,738.6428833007812
194,23,0,2,152736.5017,152736.5027,3,0.05249999836087227,0.10499999672174454,935.401611328125,431.6066589355469,805.00537109375,639.63330078125
195,23,0,2,152736.5017,152736.5027,4,0.10499999672174454,0.10499999672174454,935.8160400390625,476.90289306640625,809.8778076171875,692.5054321289062
196,23,0,2,152736.5017,152736.5027,5,0.1574999988079071,0.10499999672174454,938.6401977539062,519.910888671875,815.2669677734375,746.2079467773438
197,23,0,2,152736.5017,152736.5027,6,0.05249999836087227,0.1574999988079071,984.9954223632812,434.39605712890625,855.4205322265625,643.62841796875
198,23,0,2,152736.5017,152736.5027,9,0.05249999836087227,0.20999999344348907,1037.1607666015625,437.0851745605469,910.4173583984375,646.8984985351562
199,24,0,2,152737.0016,152737.0029,1,0.10499999672174454,0.05249999836087227,957.9505615234375,453.2220153808594,824.56103515625,667.5077514648438
200,24,0,2,152737.0016,152737.0029,2,0.1574999988079071,0.05249999836087227,962.13525390625,496.89544677734375,831.704345703125,720.9545288085938
201,24,0,2,152737.0016,152737.0029,4,0.10499999672174454,0.10499999672174454,1007.693603515625,457.1694030761719,875.6619873046875,672.0062255859375
202,24,0,2,152737.0016,152737.0029,5,0.1574999988079071,0.10499999672174454,1010.038818359375,502.2381591796875,881.886474609375,726.0950927734375
203,24,0,2,152737.0016,152737.0029,6,0.05249999836087227,0.1574999988079071,1058.9571533203125,411.94940185546875,923.2775268554688,619.4413452148438
204,24,0,2,152737.0016,152737.0029,7,0.10499999672174454,0.1574999988079071,1060.20166015625,459.5265808105469,931.601806640625,679.11474609375
205,24,0,2,152737.0016,152737.0029,8,0.1574999988079071,0.1574999988079071,1062.56494140625,507.0315246582031,936.8614501953125,732.6884765625
206,24,0,2,152737.0016,152737.0029,9,0.05249999836087227,0.20999999344348907,1114.53515625,412.4407653808594,982.656005859375,620.655029296875
207,24,0,2,152737.0016,152737.0029,10,0.10499999672174454,0.20999999344348907,1116.88671875,462.79327392578125,989.7918701171875,680.45654296875
208,24,0,2,152737.0016,152737.0029,11,0.1574999988079071,0.20999999344348907,1117.891845703125,512.1779174804688,996.3026733398438,738.79833984375
209,25,0,2,152737.5037,152737.5017,0,0.05249999836087227,0.05249999836087227,974.59716796875,391.14715576171875,820.6461181640625,599.394775390625
210,25,0,2,152737.5037,152737.5017,1,0.10499999672174454,0.05249999836087227,977.6090087890625,436.522216796875,827.3810424804688,653.602294921875
211,25,0,2,152737.5037,152737.5017,2,0.1574999988079071,0.05249999836087227,982.6522216796875,482.8830261230469,834.900390625,707.7451171875
212,25,0,2,152737.5037,152737.5017,3,0.05249999836087227,0.10499999672174454,1026.7332763671875,390.2006530761719,871.59130859375,599.1316528320312
213,25,0,2,152737.5037,152737.5017,4,0.10499999672174454,0.10499999672174454,1030.4229736328125,438.4453125,879.32958984375,655.7490844726562
214,25,0,2,152737.5037,152737.5017,5,0.1574999988079071,0.10499999672174454,1035.294677734375,486.980712890625,886.684814453125,712.5352783203125
215,25,0,2,152737.5037,152737.5017,6,0.05249999836087227,0.1574999988079071,1082.476318359375,389.2218933105469,927.7342529296875,599.517578125
216,25,0,2,152737.5037,152737.5017,7,0.10499999672174454,0.1574999988079071,1085.845703125,439.5425109863281,935.876953125,658.4326782226562
217,25,0,2,152737.5037,152737.5017,8,0.1574999988079071,0.1574999988079071,1088.169189453125,489.135986328125,944.4736328125,717.4085693359375
218,25,0,2,152737.5037,152737.5017,9,0.05249999836087227,0.20999999344348907,1141.328369140625,387.96343994140625,990.4498291015625,598.810302734375
