sync_index,port,frame_index,frame_time,point_id,img_loc_x,img_loc_y,board_loc_x,board_loc_y
0,2,0,96665.00148075,0,215.06826782226562,437.2584228515625,0.05400000140070915,0.05400000140070915
0,2,0,96665.00148075,1,243.4969482421875,434.4175720214844,0.1080000028014183,0.05400000140070915
0,2,0,96665.00148075,2,271.5909423828125,433.54632568359375,0.16200000047683716,0.05400000140070915
1,2,1,96665.16859235,0,189.39736938476562,379.51904296875,0.05400000140070915,0.05400000140070915
1,2,1,96665.16859235,1,216.48593139648438,375.51953125,0.1080000028014183,0.05400000140070915
1,2,1,96665.16859235,2,242.36476135253906,373.1702575683594,0.16200000047683716,0.05400000140070915
1,2,1,96665.16859235,3,188.91236877441406,405.23553466796875,0.05400000140070915,0.1080000028014183
1,2,1,96665.16859235,4,216.56405639648438,403.7194519042969,0.1080000028014183,0.1080000028014183
1,2,1,96665.16859235,5,244.07476806640625,400.6634521484375,0.16200000047683716,0.1080000028014183
1,2,1,96665.16859235,6,190.6521759033203,433.8388977050781,0.05400000140070915,0.16200000047683716
1,2,1,96665.16859235,7,217.29684448242188,431.0751037597656,0.1080000028014183,0.16200000047683716
1,2,1,96665.16859235,8,245.5234375,426.7987365722656,0.16200000047683716,0.16200000047683716
1,3,1,96665.34268315,0,153.46437072753906,302.4632873535156,0.05400000140070915,0.05400000140070915
1,3,1,96665.34268315,1,184.5157012939453,297.2879943847656,0.1080000028014183,0.05400000140070915
1,3,1,96665.34268315,2,212.4830322265625,291.7806091308594,0.16200000047683716,0.05400000140070915
1,3,1,96665.34268315,5,217.57443237304688,319.3735046386719,0.16200000047683716,0.1080000028014183
2,2,2,96665.34284644999,0,174.6300506591797,352.6899719238281,0.05400000140070915,0.05400000140070915
2,2,2,96665.34284644999,3,173.33619689941406,376.7025146484375,0.05400000140070915,0.1080000028014183
2,2,2,96665.34284644999,6,173.58714294433594,405.20050048828125,0.05400000140070915,0.16200000047683716
2,2,2,96665.34284644999,9,172.50064086914062,434.18072509765625,0.05400000140070915,0.2160000056028366
3,2,3,96665.6684742,0,166.63916015625,336.5766296386719,0.05400000140070915,0.05400000140070915
3,2,3,96665.6684742,1,191.4764862060547,332.8601989746094,0.1080000028014183,0.05400000140070915
3,2,3,96665.6684742,2,216.35360717773438,331.1156311035156,0.16200000047683716,0.05400000140070915
3,2,3,96665.6684742,3,163.46546936035156,359.4409484863281,0.05400000140070915,0.1080000028014183
3,2,3,96665.6684742,4,190.74667358398438,358.5008850097656,0.1080000028014183,0.1080000028014183
3,2,3,96665.6684742,5,216.56240844726562,355.4945983886719,0.16200000047683716,0.1080000028014183
3,2,3,96665.6684742,6,163.55935668945312,386.5159912109375,0.05400000140070915,0.16200000047683716
3,2,3,96665.6684742,7,189.39614868164062,384.36004638671875,0.1080000028014183,0.16200000047683716
3,2,3,96665.6684742,8,215.9524383544922,380.50933837890625,0.16200000047683716,0.16200000047683716
3,2,3,96665.6684742,9,160.8450469970703,415.0391540527344,0.05400000140070915,0.2160000056028366
3,2,3,96665.6684742,10,187.63253784179688,411.9259338378906,0.1080000028014183,0.2160000056028366
3,3,2,96665.6685482,0,134.55831909179688,285.936279296875,0.05400000140070915,0.05400000140070915
3,3,2,96665.6685482,1,166.87071228027344,282.2845458984375,0.1080000028014183,0.05400000140070915
3,3,2,96665.6685482,2,195.33277893066406,276.58050537109375,0.16200000047683716,0.05400000140070915
3,3,2,96665.6685482,3,138.62289428710938,312.7152099609375,0.05400000140070915,0.1080000028014183
3,3,2,96665.6685482,4,171.1152801513672,307.6378479003906,0.1080000028014183,0.1080000028014183
3,3,2,96665.6685482,5,200.6932830810547,303.3448486328125,0.16200000047683716,0.1080000028014183
3,3,2,96665.6685482,6,144.4539031982422,342.227294921875,0.05400000140070915,0.16200000047683716
3,3,2,96665.6685482,7,176.24200439453125,335.5776062011719,0.1080000028014183,0.16200000047683716
3,3,2,96665.6685482,8,206.42843627929688,327.6203308105469,0.16200000047683716,0.16200000047683716
3,3,2,96665.6685482,9,149.60911560058594,373.56103515625,0.05400000140070915,0.2160000056028366
3,3,2,96665.6685482,10,181.6632843017578,364.9514465332031,0.1080000028014183,0.2160000056028366
3,3,2,96665.6685482,11,211.51083374023438,356.95147705078125,0.16200000047683716,0.2160000056028366
4,2,4,96666.00093695,0,156.47866821289062,316.5002136230469,0.05400000140070915,0.05400000140070915
4,2,4,96666.00093695,1,179.6492156982422,312.72613525390625,0.1080000028014183,0.05400000140070915
4,2,4,96666.00093695,2,204.572265625,312.6183776855469,0.16200000047683716,0.05400000140070915
4,2,4,96666.00093695,3,151.4578094482422,337.17169189453125,0.05400000140070915,0.1080000028014183
4,2,4,96666.00093695,4,177.42532348632812,337.31292724609375,0.1080000028014183,0.1080000028014183
4,2,4,96666.00093695,5,202.18746948242188,335.4513244628906,0.16200000047683716,0.1080000028014183
4,2,4,96666.00093695,6,149.41653442382812,362.5444641113281,0.05400000140070915,0.16200000047683716
4,2,4,96666.00093695,7,173.5633544921875,360.45587158203125,0.1080000028014183,0.16200000047683716
4,2,4,96666.00093695,8,199.74078369140625,358.28375244140625,0.16200000047683716,0.16200000047683716
4,2,4,96666.00093695,9,143.61227416992188,388.73175048828125,0.05400000140070915,0.2160000056028366
4,2,4,96666.00093695,10,169.63787841796875,387.21197509765625,0.1080000028014183,0.2160000056028366
4,2,4,96666.00093695,11,195.4345245361328,384.50274658203125,0.16200000047683716,0.2160000056028366
4,3,3,96666.0022787,2,171.19834899902344,258.6577453613281,0.16200000047683716,0.05400000140070915
4,3,3,96666.0022787,3,111.27081298828125,289.25860595703125,0.05400000140070915,0.1080000028014183
4,3,3,96666.0022787,4,144.2992706298828,287.153564453125,0.1080000028014183,0.1080000028014183
4,3,3,96666.0022787,5,175.2949676513672,282.7706604003906,0.16200000047683716,0.1080000028014183
4,3,3,96666.0022787,7,148.76856994628906,312.6875915527344,0.1080000028014183,0.16200000047683716
4,3,3,96666.0022787,8,180.4503631591797,306.6317443847656,0.16200000047683716,0.16200000047683716
4,3,3,96666.0022787,10,152.36524963378906,340.5996398925781,0.1080000028014183,0.2160000056028366
4,3,3,96666.0022787,11,184.48300170898438,334.3695068359375,0.16200000047683716,0.2160000056028366
4,1,3,96666.00210675,0,51.51377487182617,426.72564697265625,0.05400000140070915,0.05400000140070915
4,1,3,96666.00210675,1,96.07318878173828,421.7682800292969,0.1080000028014183,0.05400000140070915
4,1,3,96666.00210675,2,139.77980041503906,416.4322814941406,0.16200000047683716,0.05400000140070915
4,4,3,96666.0010603,5,243.32704162597656,203.00779724121094,0.16200000047683716,0.1080000028014183
4,4,3,96666.0010603,8,246.35679626464844,227.88040161132812,0.16200000047683716,0.16200000047683716
4,4,3,96666.0010603,9,171.9582061767578,258.5965881347656,0.05400000140070915,0.2160000056028366
4,4,3,96666.0010603,10,209.28968811035156,257.66888427734375,0.1080000028014183,0.2160000056028366
5,2,5,96666.33397245,0,149.48568725585938,306.493896484375,0.05400000140070915,0.05400000140070915
5,2,5,96666.33397245,1,171.88999938964844,302.06805419921875,0.1080000028014183,0.05400000140070915
5,2,5,96666.33397245,2,196.2197265625,302.501953125,0.16200000047683716,0.05400000140070915
5,2,5,96666.33397245,3,143.85528564453125,325.3175354003906,0.05400000140070915,0.1080000028014183
5,2,5,96666.33397245,4,169.26109313964844,325.71417236328125,0.1080000028014183,0.1080000028014183
5,2,5,96666.33397245,5,194.20675659179688,324.9802551269531,0.16200000047683716,0.1080000028014183
5,2,5,96666.33397245,6,141.24758911132812,349.50286865234375,0.05400000140070915,0.16200000047683716
5,2,5,96666.33397245,7,164.57308959960938,347.53204345703125,0.1080000028014183,0.16200000047683716
5,2,5,96666.33397245,8,190.41822814941406,345.7264709472656,0.16200000047683716,0.16200000047683716
5,2,5,96666.33397245,9,134.41004943847656,374.6734924316406,0.05400000140070915,0.2160000056028366
5,2,5,96666.33397245,10,160.21336364746094,373.37921142578125,0.1080000028014183,0.2160000056028366
5,2,5,96666.33397245,11,184.65509033203125,370.41607666015625,0.16200000047683716,0.2160000056028366
5,3,4,96666.33742684999,0,91.83596801757812,253.47119140625,0.05400000140070915,0.05400000140070915
5,3,4,96666.33742684999,1,125.8130111694336,251.51344299316406,0.1080000028014183,0.05400000140070915
5,3,4,96666.33742684999,2,155.55099487304688,248.2971649169922,0.16200000047683716,0.05400000140070915
5,3,4,96666.33742684999,3,93.71648406982422,277.1650085449219,0.05400000140070915,0.1080000028014183
5,3,4,96666.33742684999,4,127.61688995361328,274.8475036621094,0.1080000028014183,0.1080000028014183
5,3,4,96666.33742684999,5,159.09535217285156,271.2468566894531,0.16200000047683716,0.1080000028014183
5,3,4,96666.33742684999,6,96.5888671875,304.2748107910156,0.05400000140070915,0.16200000047683716
5,3,4,96666.33742684999,7,130.798583984375,299.6772155761719,0.1080000028014183,0.16200000047683716
5,3,4,96666.33742684999,8,163.72592163085938,294.4834289550781,0.16200000047683716,0.16200000047683716
5,3,4,96666.33742684999,9,99.20565032958984,332.7104187011719,0.05400000140070915,0.2160000056028366
5,3,4,96666.33742684999,10,133.58941650390625,327.3834533691406,0.1080000028014183,0.2160000056028366
