,Sync_Index,Port_0_Time,Port_1_Time,Port_2_Time
0,0,14.67445255,14.675828800000001,dropped
1,1,dropped,14.84869725,14.85011965
2,2,15.00798275,15.0086778,dropped
3,3,15.17136675,15.1723188,15.18215975
4,4,15.33968035,15.3410975,15.3413822
5,5,15.514911,15.51600965,15.51529055
6,6,15.67229375,15.676168950000001,15.670768299999999
7,7,15.839160499999998,15.84627815,15.837796
8,8,16.007011900000002,16.01935095,16.0196227
9,9,16.17907295,16.17766915,16.178780449999998
10,10,16.3383902,16.3403651,16.3381514
11,11,16.51160085,16.51843875,16.512336599999998
12,12,16.67986525,16.6976332,16.674160450000002
13,13,16.838138,16.84385925,16.845008800000002
14,14,17.004778299999998,17.00514915,17.0158756
15,15,17.1724205,17.188102999999998,17.17201015
16,16,17.337665299999998,17.344941849999998,17.338774049999998
17,17,17.5037348,17.51795095,17.505781550000002
18,18,17.6717114,17.6739392,17.6747683
19,19,17.83882355,17.8382996,17.849158000000003
20,20,18.0189145,18.0056999,18.019917
21,21,18.22202215,18.21116465,18.22291955
22,22,18.34087895,18.3432606,18.33832785
23,23,18.530276399999998,18.524910300000002,18.53456855
24,24,18.68684915,18.6739224,18.671772349999998
25,25,18.84712765,18.84679925,18.8376964
26,26,19.0214894,19.01525245,19.01561085
27,27,19.18112995,19.173448450000002,19.17291925
28,28,19.35206865,19.337626200000003,19.33864765
29,29,19.50891475,19.5058973,19.509878550000003
30,30,19.6718784,19.67659435,19.68349475
31,31,19.84060185,19.84115175,19.84324125
32,32,20.0173025,20.01903435,20.01615795
33,33,20.173018,20.179290700000003,20.1720056
34,34,20.3387043,20.3508235,20.3397225
35,35,20.50484295,20.51004095,20.511071649999998
36,36,20.677520700000002,20.67584585,20.682501199999997
37,37,20.84247145,20.8403422,20.8411447
38,38,21.0171418,21.00734705,21.00502385
39,39,21.17690245,21.175822099999998,21.17164635
40,40,21.3487692,21.3495171,21.338418
41,41,21.5055947,21.50890375,21.5067728
42,42,21.671496349999998,21.6850631,21.6725537
43,43,21.84009085,21.841993799999997,21.84209325
44,44,22.006598099999998,22.0055072,22.01578275
45,45,22.1751009,22.1748148,22.17784665
46,46,22.3412769,22.340892099999998,22.3515582
47,47,22.50589805,22.5121696,22.513155349999998
48,48,22.6716065,22.6756832,22.6832754
49,49,22.838229849999998,22.84221455,22.843361950000002
50,50,23.00550645,23.016767950000002,23.014769
51,51,23.17791365,23.176665649999997,23.1768467
52,52,23.3466905,23.340580199999998,23.3476378
53,53,23.565507099999998,23.5560052,23.5565265
54,54,23.684830599999998,23.68368445,23.67871945
55,55,23.851910949999997,23.857113400000003,23.8390694
56,56,24.004270849999997,24.01047245,24.011728249999997
57,57,24.17493745,24.17379555,24.18614765
58,58,24.344544499999998,24.34526735,24.350908
59,59,24.526498500000002,24.54015245,24.53625155
60,60,24.6717467,24.678863749999998,24.67294715
61,61,24.83976045,24.85091525,24.83862595
62,62,25.0066104,25.01060775,25.00562385
63,63,25.17317865,25.1846134,25.17232955
64,64,25.33812935,25.34152455,25.33944845
65,65,25.50694795,25.518505,25.5055112
66,66,25.678036050000003,25.677120000000002,25.672643700000002
67,67,25.8478587,25.8468107,25.83855475
68,68,26.00775085,26.00675695,26.0047262
69,69,26.1823971,26.177877350000003,26.172881
70,70,26.339622249999998,26.339959049999997,26.3404155
71,71,26.50567125,26.516081800000002,26.51636835
72,72,26.68067,26.67945695,26.6804013
73,73,26.85315035,26.84011005,26.8550921
74,74,27.00978455,27.01156525,27.012554350000002
75,75,27.17688815,27.17573285,27.183742199999998
76,76,27.340199849999998,27.3391546,27.34128225
77,77,27.5154072,27.506697950000003,27.519037
78,78,27.6732039,27.678160849999998,27.67355935
79,79,27.83889205,27.8466443,27.837925
80,80,28.00603305,28.008171949999998,28.0050286
81,81,28.17280985,28.18401985,28.17163115
82,82,28.33963325,28.33787715,28.33907715
83,83,28.5126585,28.5061879,28.5090213
84,84,28.6872234,28.6760452,28.67072605
85,85,28.84556945,28.83813265,28.83706435
86,86,29.0193133,29.00711365,29.0051761
87,87,29.184540300000002,29.18224685,29.17329015
88,88,29.353060550000002,29.34186105,29.3438451
89,89,29.51400945,29.51060735,29.50665585
90,90,29.6851141,29.67743985,29.67937035
91,91,29.8451119,29.842649899999998,29.8458675
92,92,30.005413949999998,30.005831299999997,30.0151367
93,93,30.177204349999997,30.1740146,30.17630845
94,94,30.3487004,30.33903985,30.3405144
95,95,30.508020549999998,30.50884915,30.5057779
96,96,30.674562199999997,30.688542499999997,30.6738098
97,97,30.8383845,30.843532699999997,30.83963
98,98,31.006234499999998,31.02033015,31.005368400000002
99,99,31.1746928,31.179680949999998,31.17209305
100,100,31.3380377,31.349279799999998,31.34004925
101,101,31.5097688,31.50999745,31.510519799999997
102,102,31.67187445,31.680196000000002,31.6811296
103,103,31.83814235,31.84044505,31.84778665
104,104,32.00555755,32.006894200000005,32.00853615
105,105,32.171949850000004,32.176951,32.181294449999996
106,106,32.3399975,32.3391094,32.3510688
107,107,32.507501000000005,32.51057005,32.51222575
108,108,32.6719238,32.6759057,32.6822227
109,109,32.837971249999995,32.8411057,32.839089349999995
110,110,33.0066233,33.0149621,33.0057125
111,111,33.1719351,33.1890262,33.1732954
112,112,33.3386487,33.3470208,33.339786700000005
113,113,33.50705325,33.508082200000004,33.506708
114,114,33.680098900000004,33.68524965,33.67221065
115,115,33.8409041,33.84025785,33.83836565
116,116,34.015143300000005,34.0079004,34.0048325
117,117,34.1739314,34.178793,34.17165035
118,118,34.34028185,34.34748595,34.33932195
