,frame,ID,u_A,v_A,u_B,v_B,X,Y,Z
0,0,0,383.8684387207031,654.8005981445312,477.11065673828125,704.3361206054688,-0.3894950129084085,0.04645040439706235,0.6782102314471393
1,0,1,469.235107421875,643.6103515625,513.63671875,709.3419799804688,-0.33569290166439686,0.039265042637897464,0.6840279147508809
2,0,2,551.4100341796875,633.42822265625,549.48876953125,715.03759765625,-0.28208515363779396,0.03229095016457137,0.6872278990261874
3,0,3,397.5971984863281,732.4435424804688,482.25360107421875,763.832763671875,-0.38307629476307126,0.09939014782746153,0.683617726066759
4,0,4,482.1622619628906,720.4446411132812,518.4691772460938,770.2240600585938,-0.329192886077549,0.09180887215466937,0.6890902864782421
5,0,5,564.2826538085938,709.0100708007812,555.7568969726562,777.3156127929688,-0.2756356838399318,0.08433401338613868,0.6934574027031697
6,0,6,410.6911315917969,809.27294921875,486.5848693847656,822.2086181640625,-0.37682285606997284,0.1520519920517362,0.6885273418221971
7,0,7,494.42340087890625,796.3443603515625,523.2818603515625,831.1393432617188,-0.32300305720265027,0.14463906855400033,0.694309490396974
8,0,8,575.6920776367188,784.1138916015625,560.6866455078125,840.2675170898438,-0.26953542830073185,0.13699033475537653,0.6987323281131063
9,0,9,423.74102783203125,884.7164916992188,490.7445068359375,880.997314453125,-0.37006637185940244,0.20468900076877342,0.6929758167225383
10,0,10,506.47491455078125,871.3452758789062,527.801513671875,891.156982421875,-0.31688269025905413,0.19730645746116185,0.69941125258572
11,0,11,586.5830078125,858.41845703125,565.6053466796875,902.6658935546875,-0.26378664960502735,0.18983824421319875,0.7042841112249223
12,1,0,369.3908386230469,525.7761840820312,441.216064453125,617.6790771484375,-0.373923623018027,-0.03722048319858348,0.6349106461092471
13,1,1,465.86090087890625,523.2189331054688,488.364013671875,625.300048828125,-0.3210243805303182,-0.039482442533505635,0.6493593389650062
14,1,2,557.1136474609375,521.0316772460938,534.5392456054688,631.955322265625,-0.2679399533018377,-0.04219524458356202,0.6610628349048145
15,1,3,375.42547607421875,610.4156494140625,442.0716247558594,680.091064453125,-0.3719923085032318,0.01598013949882892,0.6384593059488818
16,1,4,471.3494873046875,605.618408203125,488.576416015625,688.094970703125,-0.3189763041805607,0.013087426408369416,0.6525625687194262
17,1,5,562.1068115234375,601.5123291015625,536.4829711914062,696.6610717773438,-0.2664714778332006,0.010428139470943787,0.6660593755399947
18,1,6,380.70477294921875,694.0593872070312,442.5795593261719,741.47900390625,-0.37046992490088854,0.06901118910228211,0.6419416927903753
19,1,7,476.1140441894531,687.2122192382812,489.02081298828125,750.8267211914062,-0.31743203744584386,0.06594837489237117,0.6561451048036079
20,1,8,566.4852294921875,680.77392578125,536.8710327148438,760.6705932617188,-0.2647842619504832,0.06288217299917982,0.6696606109297321
21,1,9,386.1690673828125,776.8741455078125,443.3446350097656,802.713623046875,-0.3687903891509248,0.12224295814443013,0.6455579402728852
22,1,10,480.3731994628906,768.03515625,489.5698547363281,813.3758544921875,-0.3161743463441364,0.11909947188850976,0.6599323228550731
23,1,11,570.0633544921875,759.622802734375,536.97119140625,825.0407104492188,-0.263387169724592,0.11588761940732147,0.6731433816845094
24,2,0,394.49969482421875,417.14520263671875,426.5041198730469,540.3271484375,-0.34354137365796616,-0.10352740182860613,0.6069507700557277
25,2,1,496.67645263671875,419.2930603027344,486.6748352050781,544.2627563476562,-0.2943244900480135,-0.1064193000136912,0.6315375511633505
26,2,2,591.164306640625,421.23638916015625,546.5158081054688,548.4487915039062,-0.2444495699021189,-0.10915659966712196,0.6541989916683697
27,2,3,400.5728454589844,506.3171691894531,428.7170104980469,606.3367919921875,-0.3424916864811736,-0.05033857544033071,0.6117498435160745
28,2,4,501.70062255859375,504.9615173339844,488.57598876953125,610.698974609375,-0.2934070239552774,-0.05340317261775587,0.6364814619133163
29,2,5,595.2307739257812,503.8697204589844,548.5980224609375,615.7640380859375,-0.24379921479293024,-0.05621729909533443,0.6597445168520163
30,2,6,405.8649597167969,594.0164184570312,430.6069030761719,670.6635131835938,-0.3419134673845663,0.0025584988547424875,0.6165833316600411
31,2,7,506.21527099609375,588.9559936523438,489.5753479003906,676.2313842773438,-0.2923516657953229,-0.0005562106297591483,0.6406422790763204
32,2,8,599.043701171875,584.5750122070312,549.6784057617188,681.9004516601562,-0.24286363832677263,-0.003598140701224905,0.6643090816634796
33,2,9,410.8365783691406,680.4939575195312,431.973876953125,735.407958984375,-0.34096416764496945,0.055888403681000454,0.620798408728527
34,2,10,510.27874755859375,672.1815185546875,490.7293701171875,741.385498046875,-0.2915917454265872,0.052621933309048505,0.6450835194837432
35,2,11,602.2080078125,664.3309936523438,550.5313720703125,747.7308349609375,-0.24218178764535772,0.049308845309713197,0.668811449051493
36,3,0,411.3877868652344,258.06988525390625,416.448974609375,438.6920471191406,-0.3198772380444025,-0.18801236817612668,0.5831401999969863
37,3,1,516.3026123046875,263.8863830566406,478.3251647949219,440.6330871582031,-0.27035852315892367,-0.19183374074991244,0.6065429393732512
38,3,2,613.4280395507812,269.2661437988281,539.3076171875,441.71685791015625,-0.22014413161672663,-0.1955235882893591,0.6275891146803078
39,3,3,421.11920166015625,353.6027526855469,423.454345703125,508.1224365234375,-0.31859755510411025,-0.13501757045880713,0.5912939712970934
40,3,4,524.6175537109375,355.8406677246094,484.5243835449219,510.3542175292969,-0.26886202597743153,-0.13906324599747635,0.6145023899827706
41,3,5,620.2645263671875,358.235107421875,546.4896850585938,512.9407348632812,-0.21905327821287957,-0.14279692686022685,0.6368548319783008
42,3,6,430.4246520996094,445.9179992675781,429.8338317871094,575.8021850585938,-0.3171566873009503,-0.08232721239135855,0.5990092958502768
43,3,7,532.4424438476562,444.80859375,490.50653076171875,578.6123046875,-0.26744895535518054,-0.08651492824913962,0.6223606135026858
44,3,8,626.664794921875,443.94573974609375,552.3431396484375,581.7325439453125,-0.21782151142655753,-0.09052942759751342,0.6451426005207296
45,3,9,439.2685852050781,535.8245849609375,436.1510314941406,642.376220703125,-0.31583210470368067,-0.029578684669160537,0.6067991955040726
46,3,10,539.7432861328125,531.1276245117188,496.40045166015625,645.5550537109375,-0.26619921510223876,-0.034085172012573564,0.6302653189357312
47,3,11,632.406494140625,526.705078125,557.119140625,649.8096923828125,-0.21643337515966476,-0.03828846589936915,0.65243624447382
48,4,0,454.3503112792969,152.78146362304688,436.0430603027344,360.53240966796875,-0.29526598503581186,-0.2481725402326606,0.5828183467806408
49,4,1,557.3057861328125,163.71817016601562,499.79931640625,361.9721984863281,-0.24606617314493434,-0.25147189060904795,0.6064467941822647
50,4,2,652.6710815429688,173.71621704101562,562.7510986328125,363.3859558105469,-0.19607208743605659,-0.25415271756813484,0.6276276430187013
51,4,3,462.43072509765625,250.51695251464844,442.9428405761719,432.51507568359375,-0.2948154997404253,-0.1949887301174998,0.5913225095799644
52,4,4,564.2760009765625,258.1963806152344,506.44769287109375,434.4688415527344,-0.24544127620553463,-0.1983649026074981,0.615291467895271
53,4,5,657.8863525390625,265.2626037597656,570.274658203125,437.1829528808594,-0.19600893911889408,-0.20124024087899603,0.6379317254148114
54,4,6,470.44281005859375,344.9847106933594,449.1157531738281,502.34716796875,-0.2940152315875396,-0.1420825351053238,0.5992807606096374
55,4,7,570.7637329101562,348.9434509277344,512.3231201171875,505.5860595703125,-0.24463734607191623,-0.14539475857394252,0.6234384454833377
56,4,8,663.2445678710938,352.80975341796875,576.0880126953125,508.21612548828125,-0.19531751453860768,-0.14876129668008217,0.6466837911450289
57,4,9,477.9268493652344,436.47332763671875,454.3134460449219,570.8720092773438,-0.29298909533868234,-0.08924436734277816,0.6064661599104746
58,4,10,576.69580078125,437.00341796875,517.378662109375,574.3800048828125,-0.24395768998818662,-0.09278464194372499,0.6311599090253068
59,4,11,667.8991088867188,437.33935546875,580.6202392578125,578.5659790039062,-0.19452328759553605,-0.09610502074155906,0.6543045876465864
60,5,0,568.26806640625,103.66239166259766,496.3161926269531,316.8056640625,-0.23571860291313956,-0.28265432004154817,0.596569521677994
61,5,1,662.8115234375,124.03360748291016,569.200927734375,321.81109619140625,-0.18945401427688596,-0.28401165125677164,0.626299830659017
62,5,2,749.735107421875,141.6502685546875,640.498291015625,326.3545227050781,-0.1420346492027983,-0.28501770947560584,0.6533544507635739
63,5,3,570.58935546875,199.6066436767578,498.56591796875,392.3652038574219,-0.2367401902904476,-0.22882492891210052,0.6028014914808754
64,5,4,664.3583984375,215.6053466796875,570.39404296875,397.2409973144531,-0.19031203061339508,-0.23022513787628193,0.6323521929843074
65,5,5,749.5513305664062,229.78765869140625,642.3356323242188,402.187255859375,-0.14384423316961076,-0.23157836515239677,0.6611422457720524
66,5,6,573.222412109375,292.7452697753906,499.43597412109375,465.2000732421875,-0.23713931305821395,-0.1754535668664215,0.6078276123511742
67,5,7,665.6659545898438,304.5727233886719,571.3276977539062,470.3193054199219,-0.19127327810212,-0.17696339723424587,0.6382394997901782
68,5,8,750.0183715820312,314.9447021484375,642.6334838867188,475.6177978515625,-0.14488893730900504,-0.17834396638521083,0.667197698256583
69,5,9,575.4218139648438,383.8288269042969,500.03778076171875,537.2364501953125,-0.23760141437441612,-0.12205346262578708,0.6125918746762503
70,5,10,667.2953491210938,391.0943908691406,571.5548706054688,541.8665161132812,-0.19173301589571712,-0.1239322107248209,0.6432359992131556
71,5,11,749.91748046875,397.5765075683594,642.4264526367188,547.529052734375,-0.14614293928978492,-0.1253967499945326,0.6728282485573057
72,6,0,671.8511352539062,110.81096649169922,555.5410766601562,316.2616271972656,-0.1792956153341301,-0.2848709705151424,0.6104777830698824
73,6,1,753.5076904296875,137.8379364013672,636.3847045898438,325.1967468261719,-0.13840823366121846,-0.2849145542072499,0.6477225967684742
74,6,2,828.0421142578125,161.2457733154297,713.9237670898438,333.7359313964844,-0.09597099972193941,-0.2844219260434293,0.6820617083329783
75,6,3,669.1900024414062,204.26344299316406,553.7420654296875,393.4422912597656,-0.18234306546449003,-0.23107385120404966,0.615393382367553
76,6,4,749.8800048828125,226.19918823242188,633.6807250976562,401.37994384765625,-0.14190066066518092,-0.23117344783753324,0.6530070652027617
77,6,5,822.8265380859375,244.7968292236328,710.9532470703125,409.443603515625,-0.10041167328083486,-0.2310781316293455,0.6885224276550732
78,6,6,667.2989501953125,295.2262878417969,551.3139038085938,468.55523681640625,-0.18467560812331107,-0.17757119733057303,0.6193722899421915
79,6,7,747.303955078125,311.63433837890625,630.4990844726562,475.7083740234375,-0.1444480031364118,-0.1777956319220859,0.6570933753209713
80,6,8,818.9085083007812,325.88623046875,707.2667846679688,482.5846252441406,-0.10385410992172411,-0.1780260190844208,0.6935249792453246
81,6,9,665.2244262695312,384.04351806640625,548.2304077148438,542.395263671875,-0.18685860100997215,-0.12426967172335043,0.6226315402550534
82,6,10,744.3303833007812,395.2649230957031,626.837158203125,548.212158203125,-0.147176145709382,-0.12475604670639337,0.6607904212902448
83,6,11,814.7317504882812,405.0140380859375,702.7695922851562,554.3184814453125,-0.10731304688498333,-0.12509340688724802,0.6976253591082776
