,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
0,"(0, 2)",0,2,344.34459460000005,54,0,0.1495780348777771,0.0014777911128476262,0.8530294895172119,733.7044677734375,643.18408203125,792.5591430664062,384.810302734375,731.9439086914062,637.5259399414062,791.5812377929688,384.390380859375
1,"(0, 2)",0,2,345.18113395,59,9,0.30185067653656006,-0.06295755505561829,0.7165282964706421,967.7867431640625,601.497314453125,962.5419921875,337.60076904296875,958.2835083007812,594.884033203125,954.873779296875,337.2619934082031
2,"(0, 2)",0,2,345.18113395,59,10,0.30063390731811523,-0.03241661936044693,0.7296356558799744,964.228515625,659.439453125,962.461669921875,373.1991882324219,954.38427734375,650.5806274414062,954.6396484375,371.92083740234375
3,"(0, 2)",0,2,345.505788125,61,10,0.30553823709487915,-0.05252628028392792,0.6976272463798523,971.29638671875,632.3211669921875,978.151123046875,352.24383544921875,961.3779296875,624.486328125,969.516845703125,351.458984375
4,"(0, 2)",0,2,345.674597025,62,10,0.3041788339614868,-0.0639282837510109,0.6854476928710938,964.3826904296875,611.89794921875,979.8235473632812,338.239990234375,954.9273681640625,604.91796875,971.1392822265625,337.8370056152344
5,"(0, 2)",0,2,346.008625075,64,0,0.20924100279808044,-0.12819641828536987,0.7391517162322998,764.1419067382812,484.46893310546875,853.3712158203125,254.5546417236328,763.1810302734375,483.62408447265625,850.6419067382812,255.60198974609375
6,"(0, 2)",0,2,346.008625075,64,1,0.20784802734851837,-0.09574297815561295,0.7403021454811096,758.403076171875,534.75,855.3333740234375,291.5369873046875,757.1131591796875,532.9423217773438,852.7456665039062,292.023681640625
7,"(0, 2)",0,2,346.008625075,64,2,0.20600678026676178,-0.062067944556474686,0.7426671385765076,752.6517333984375,589.283203125,857.4371948242188,329.2485656738281,750.9420166015625,585.802001953125,854.8388671875,329.22930908203125
8,"(0, 2)",0,2,346.008625075,64,3,0.24201111495494843,-0.12465515732765198,0.7144792675971985,815.3758544921875,488.516357421875,892.1639404296875,257.57916259765625,813.230712890625,487.1657409667969,887.92578125,258.85662841796875
9,"(0, 2)",0,2,346.008625075,64,4,0.24190694093704224,-0.09503329545259476,0.7143488526344299,811.2373046875,541.3787841796875,896.0540771484375,292.7629699707031,808.6254272460938,538.814208984375,891.8275146484375,293.3789367675781
10,"(0, 2)",0,2,346.008625075,64,6,0.2707062065601349,-0.12130523473024368,0.6874045729637146,870.7372436523438,493.3982849121094,931.2733154296875,260.4752197265625,866.6676635742188,491.38897705078125,925.1807861328125,261.94873046875
11,"(0, 2)",0,2,346.008625075,64,7,0.2708379328250885,-0.09320257604122162,0.6902828216552734,868.46337890625,548.346923828125,934.9761962890625,296.6174011230469,863.82373046875,544.8343505859375,928.8427734375,297.2673034667969
12,"(0, 2)",0,2,346.008625075,64,9,0.2954310178756714,-0.11824341863393784,0.6578719615936279,932.3888549804688,498.40411376953125,971.2669067382812,263.40411376953125,925.563720703125,495.6461181640625,963.0126953125,265.0169982910156
